schoolId,Grade,Student ID,Adjusted WCPM Score,PA PR,SR PR,Vocabulary PR,Decoding PR,classId,ARM,ARM PR,Estimated Mastery PR
c2ca85b6f03f9a01,Second Grade,8918d7a33ebb4b4c,132.6741327506146,84.0,80.0,83.0,83.0,af2269c8bbfe099b,3.93,93.0,66.0
c2ca85b6f03f9a01,Fifth Grade,49f313b587a596de,109.07485214307596,83.0,90.0,84.0,92.0,fc01e884eb99a3be,5.33,45.0,28.0
6a2fe1913a631373,Fourth Grade,fa9cb2e931a88506,69.44865793268895,55.0,58.0,61.0,64.0,6e490b60321e1583,4.2,43.0,43.0
c2ca85b6f03f9a01,Kindergarten,3d9d9f0deb83047d,,,,,,210d4b48a3070684,0.29,36.0,74.0
c2ca85b6f03f9a01,First Grade,a110562af0844f9b,,,,,,f37ca0351a42c842,0.68,21.0,36.0
c2ca85b6f03f9a01,Third Grade,2252d83036f1de4b,76.72094223640373,45.0,44.0,45.0,41.0,8997ac4c135abd56,3.5,50.0,40.0
fb698c69776613bd,Fifth Grade,9a3914f8fb583196,187.4402701420761,61.0,98.0,97.0,77.0,1f16f999c39dea42,8.17,99.0,81.0
6a2fe1913a631373,Third Grade,33d670cbe0841a1b,86.62597317153404,79.0,76.0,74.0,79.0,cd1617a306289a76,3.8,60.0,47.0
6a2fe1913a631373,Third Grade,fa647d24156ba807,36.540139616055846,63.0,54.0,54.0,69.0,cd1617a306289a76,2.42,19.0,29.0
6a2fe1913a631373,Third Grade,e5facbd815328454,19.96443834419939,9.0,5.0,6.0,9.0,cd1617a306289a76,1.13,6.0,12.0
fb698c69776613bd,Fourth Grade,cf3d53a09940958c,84.62192013593884,51.0,50.0,53.0,52.0,b3d3f013c734ee8a,4.54,52.0,40.0
fb698c69776613bd,Fifth Grade,434cd1251a49a896,85.89573705848002,36.0,65.0,52.0,62.0,914d7985ca2d92b4,4.68,29.0,27.0
1d6352f47f5ce129,Second Grade,4a03efcea116da53,187.05011503451036,87.0,92.0,95.0,88.0,8a912c57b6b85f9d,4.33,99.0,94.0
28ca6e69b2e5077f,Third Grade,933314e35a3fce24,70.63509350592776,55.0,59.0,59.0,52.0,d808e2214afce8db,3.52,50.0,56.0
28ca6e69b2e5077f,First Grade,8a7ab354a2253b73,33.12705863713778,49.0,38.0,41.0,48.0,41b45531e19d4ca8,1.86,68.0,59.0
28ca6e69b2e5077f,Fourth Grade,b47e8a4c378b4bd0,88.12856402280974,52.0,53.0,56.0,56.0,991184e139343b2f,4.57,53.0,53.0
1d6352f47f5ce129,Third Grade,ca6345e4cdbf225e,62.05527056097965,47.0,54.0,55.0,48.0,8b27035df483bf06,2.99,32.0,45.0
28ca6e69b2e5077f,Fifth Grade,7216133b072d4b72,130.18944206298437,55.0,90.0,85.0,79.0,a230cf2f39db54c4,6.06,80.0,76.0
28ca6e69b2e5077f,First Grade,421bd4e676235c13,,,,,,41b45531e19d4ca8,0.46,10.0,32.0
1d6352f47f5ce129,Second Grade,85ac429e69160fc4,146.21974401216576,84.0,84.0,87.0,88.0,a746e33d0aa1beab,4.06,95.0,81.0
044d4774e711a6f5,Second Grade,caae9400b96d1391,143.44454910515094,86.0,86.0,89.0,88.0,49e382724b93cb77,4.0,94.0,86.0
e280880f1faca1e3,First Grade,a55c8948691d0b79,43.74377951708858,58.0,44.0,47.0,55.0,e022463628b21c4c,2.08,82.0,63.0
e280880f1faca1e3,First Grade,99821c1ed69ecd42,30.97270922591292,39.0,32.0,34.0,39.0,e022463628b21c4c,1.78,63.0,64.0
804d070b715fa400,Kindergarten,1d4f5a5dcc129304,,,,,,9bf1f5bbac37831e,0.68,68.0,66.0
96af2f0d8b9497ee,First Grade,21ebf53475c87f26,12.907069022162124,23.0,20.0,31.0,17.0,f8814f79812b4ba3,1.16,38.0,37.0
96af2f0d8b9497ee,Fifth Grade,3cb2f61f634e2482,,,,,,6705bc73aba697f4,0.96,1.0,1.0
804d070b715fa400,Second Grade,76d4a79322531189,101.38970644383907,89.0,70.0,73.0,86.0,ad66eee04afa3ca5,3.36,83.0,69.0
804d070b715fa400,Kindergarten,de3e6436627f0133,35.02008904332718,94.0,87.0,88.0,94.0,d9a1ad62aa98e8b4,1.77,98.0,93.0
96af2f0d8b9497ee,Kindergarten,523870f48c27883b,,,,,,99d20badb6fef9fb,0.49,49.0,47.0
804d070b715fa400,First Grade,ff5b0a903e3db023,103.60184620743708,99.0,91.0,94.0,99.0,15383dc4b8ae849e,2.56,98.0,87.0
804d070b715fa400,First Grade,a89eac68dac3f625,40.378596785648675,58.0,44.0,48.0,59.0,aba66b7c3f4fb3fe,2.07,81.0,63.0
96af2f0d8b9497ee,First Grade,08187e12403ab5df,49.50708264392628,56.0,40.0,44.0,51.0,edfdff8ca1c06fc7,2.02,78.0,68.0
2dc05c80d390b291,Second Grade,a3ec4b8d53754c16,108.7982971152466,88.0,80.0,84.0,87.0,ec79d7a3c2c2d524,3.41,85.0,74.0
31d07f807ce6e0f3,Second Grade,5a2f06a5ad51e513,5.0,2.0,9.0,12.0,3.0,e6de8bd3f1ba7af7,0.52,3.0,16.0
31d07f807ce6e0f3,Fourth Grade,96dc1290ffaef359,104.24027123214852,78.0,83.0,86.0,91.0,42bcde83d99f2eb0,4.83,66.0,36.0
31d07f807ce6e0f3,Second Grade,1f61033b4da24005,55.584411129180886,51.0,40.0,36.0,49.0,e6de8bd3f1ba7af7,2.05,32.0,61.0
e59a12c9fbe10a9f,Kindergarten,dc5cf712b34e684d,,,,,,73be88e5328ef175,0.15,26.0,50.0
e59a12c9fbe10a9f,Kindergarten,921dacff3da9ad47,,,,,,d7a02d2642844a90,0.71,71.0,49.0
e59a12c9fbe10a9f,Third Grade,d073976307b07b94,,,,,,b1415a1ec3b9b81d,0.64,1.0,2.0
c06bf7b9235a0315,Fifth Grade,8c6d0ebef6eb49c3,23.46167359938342,3.0,3.0,3.0,5.0,45ba652aad5f919e,1.19,2.0,1.0
c06bf7b9235a0315,Fifth Grade,f4fe50b5798dcf6d,105.02618859398032,44.0,80.0,70.0,78.0,3c7720eac8a17c25,5.44,48.0,46.0
c06bf7b9235a0315,Third Grade,44c3093a61791823,110.78093426839416,75.0,78.0,75.0,72.0,cba6e77f53279b9e,4.42,86.0,75.0
c06bf7b9235a0315,Third Grade,04631eccb412db60,148.0139895078691,85.0,92.0,91.0,83.0,59fa70416d791ea6,5.13,97.0,85.0
c06bf7b9235a0315,Second Grade,ade94a6695dbe4a6,,,,,,c130a5d9ed0ca752,0.63,6.0,40.0
e59a12c9fbe10a9f,Fourth Grade,8dd71ce0c9ea392d,,,,,,2054e3a47d42749f,0.77,1.0,1.0
e59a12c9fbe10a9f,First Grade,71945f9f215f288e,,,,,,7d43f72f081549bf,0.58,16.0,27.0
c06bf7b9235a0315,Third Grade,7fed24786217575b,37.447568531781755,18.0,15.0,16.0,21.0,4a8b1bcef1324a81,1.98,14.0,15.0
c06bf7b9235a0315,First Grade,371392ab02054837,60.80738686909244,78.0,63.0,67.0,77.0,081cc2fc8d332686,2.17,87.0,69.0
67da477cd249e63c,Third Grade,93016756fccd9bac,122.72153040967336,84.0,89.0,87.0,87.0,a63a4f468f2d6616,4.73,93.0,93.0
c06bf7b9235a0315,Fifth Grade,1ffef748801f91e4,169.8299582178565,79.0,99.0,99.0,86.0,95872447ba029631,7.7,99.0,83.0
67da477cd249e63c,Fifth Grade,a2a6ae199ad6a3c3,51.72823315081773,5.0,5.0,5.0,7.0,e8829fd7fab8b015,3.75,9.0,12.0
67da477cd249e63c,First Grade,4480559bec7770ea,115.92211382600848,96.0,99.0,99.0,96.0,b41e43a7bec3b3d3,3.85,99.0,92.0
67da477cd249e63c,Second Grade,d9a220d15ca1c772,214.2487145305656,19.0,12.0,13.0,18.0,23208714ac7b4080,4.25,98.0,87.0
3b21e9f5b1858849,Second Grade,1b5f8cbfff0fd863,9.429565569787458,6.0,9.0,12.0,7.0,202492f0b298f175,1.25,17.0,26.0
67da477cd249e63c,Third Grade,a7dda9af7c5bda54,77.36900904305875,62.0,68.0,67.0,64.0,0c9dc9b76dbdb719,3.7,56.0,58.0
5b3c8009b787a482,First Grade,80b95cc5ae35c258,,,,,,8a099e65aadb5dac,0.7,21.0,39.0
5b3c8009b787a482,Kindergarten,ec0815dad39749bd,,,,,,de298d047976e743,0.59,59.0,68.0
67da477cd249e63c,Third Grade,43acb9aff49c9a9a,55.42001746935333,43.0,45.0,45.0,39.0,0c9dc9b76dbdb719,2.9,29.0,51.0
5b3c8009b787a482,Second Grade,d751b39803cd401c,95.66290249696,54.0,49.0,47.0,50.0,3d38c9182e145cf6,2.99,72.0,36.0
5b3c8009b787a482,Fifth Grade,e35525c3236767a5,111.62273555687038,54.0,93.0,90.0,86.0,2ea7b5422e93289f,5.57,55.0,55.0
5b3c8009b787a482,Second Grade,c8de49d60aa4a0c9,99.9248389105298,75.0,67.0,70.0,73.0,3326ee3442483b58,3.36,83.0,76.0
c73552fc338affd5,Kindergarten,e483dd3f42b595c9,,,,,,b0d3a8523835855d,0.21,30.0,88.0
c73552fc338affd5,First Grade,a85652e5c5a37e34,52.96004524810997,78.0,60.0,64.0,72.0,f77fc308fc9ee5c0,2.09,83.0,63.0
5b3c8009b787a482,Second Grade,9bdc86776c2136c5,76.74998423827688,70.0,60.0,62.0,73.0,3d38c9182e145cf6,2.74,62.0,71.0
cecdedaf6222a1f9,Second Grade,a717d8810c35292d,65.41418639057731,73.0,56.0,57.0,75.0,4e4cde5b168d6073,2.46,48.0,46.0
8dd4c14af7ac3de4,First Grade,54ac09e961c506cd,67.77089676149527,75.0,61.0,64.0,69.0,5dff3fc4eaab79f0,2.06,81.0,72.0
8dd4c14af7ac3de4,First Grade,b1cc6bbcaef9d72d,18.14314357387733,24.0,19.0,30.0,31.0,00faf8751d05da3f,1.54,52.0,42.0
cecdedaf6222a1f9,Third Grade,a82edae5f91f4c9b,82.98805530110468,60.0,65.0,64.0,55.0,5a9f1076857aa4ee,3.84,62.0,59.0
8dd4c14af7ac3de4,Second Grade,ee306f1bb43c3cac,129.9413646055437,84.0,83.0,86.0,81.0,f2b8bec029a616d5,3.7,90.0,88.0
b89fa1a4c01ea71f,Kindergarten,8ef4b0a73d86f1de,30.63077709249911,92.0,88.0,89.0,84.0,c065cf04fdfea7ac,1.0603077709249913,89.0,90.0
b89fa1a4c01ea71f,Second Grade,4abe870a82f3ebaf,42.04146427013903,48.0,40.0,36.0,47.0,6e951272912ae363,2.05,32.0,49.0
b89fa1a4c01ea71f,Kindergarten,98fd07f3a37d75aa,94.20490879236132,96.0,99.0,99.0,95.0,c065cf04fdfea7ac,3.16,99.0,99.0
b89fa1a4c01ea71f,Second Grade,08899f8aa179a4f3,125.99809584258966,91.0,83.0,86.0,92.0,4fedde5b43d6336b,3.82,92.0,83.0
8dd4c14af7ac3de4,First Grade,bf47a20954c112d9,119.7460170861233,99.0,95.0,97.0,99.0,9a215afc255b58e5,2.6,99.0,87.0
b89fa1a4c01ea71f,Third Grade,6a1cbc861fa36f93,158.26595485901515,96.0,99.0,99.0,97.0,fc68868747058f03,7.34,99.0,98.0
6f13ab6736e0a80a,First Grade,e89f943ac162c43d,28.48591413219731,42.0,35.0,38.0,42.0,b9d85b6aca87d7b9,1.59,54.0,48.0
6f13ab6736e0a80a,Second Grade,5c589e4d889bef95,6.80561471049859,7.0,9.0,12.0,8.0,937578726094fc2b,0.99,13.0,27.0
6f13ab6736e0a80a,Second Grade,7ce3a996285afd7a,133.97868800863273,99.0,89.0,93.0,99.0,6f1f96211e2dd7d5,4.05,95.0,85.0
c45f3e49025ee2b7,Fourth Grade,ed6f2e7a30e88137,99.4689807019816,56.0,62.0,64.0,65.0,adfceaaee8415374,4.77,63.0,63.0
c45f3e49025ee2b7,First Grade,802f23c8569c4e01,135.59633027522935,97.0,99.0,99.0,97.0,bda211beb877ea53,4.25,99.0,99.0
c45f3e49025ee2b7,Fifth Grade,c26e1089d046bcc0,104.9296223486558,18.0,31.0,30.0,32.0,c64a4bcd8560e9b1,5.335762628038166,46.0,60.0
d0fd010311f8746f,First Grade,c8badbd59b6ba1cc,,,,,,b706aeeff493531e,0.63,18.0,36.0
bfe910898c30a4df,Fifth Grade,0ad9c67e02567f5d,90.06478866945196,10.0,17.0,17.0,22.0,c4e96d50917ba8fc,4.61,27.0,28.0
bfe910898c30a4df,Second Grade,6cb2221e679c36ea,,,,,,a49035da9b5e55f3,0.44,2.0,10.0
bfe910898c30a4df,Fourth Grade,de4a4f138153f252,113.34008489732594,68.0,81.0,84.0,78.0,62db35c7c89da0a2,5.17,80.0,41.0
d0fd010311f8746f,First Grade,8f19a6395955808d,47.09383111517581,88.0,71.0,75.0,89.0,180f7f30a1435308,2.11,84.0,64.0
bfe910898c30a4df,Fifth Grade,28999ebd7a116fc4,110.36269430051814,91.0,42.0,37.0,91.0,c4e96d50917ba8fc,5.32,45.0,45.0
375c4404033e9ad9,Second Grade,2f150a87ae8ed8a2,82.09806313138986,93.0,72.0,75.0,95.0,5fab7876eeeffb15,2.8,65.0,63.0
375c4404033e9ad9,Kindergarten,74629af89337871f,,,,,,1ea0d93e30ee1085,0.18,28.0,55.0
2f3c64e9439c0e5d,First Grade,7890e2093b9c8c0c,160.77537058152794,99.0,98.0,99.0,99.0,e4055f722b5eb830,2.6,99.0,92.0
2f3c64e9439c0e5d,First Grade,aaf8ffb08136b838,,,,,,f5b443889fc33f1f,0.82,26.0,31.0
2f3c64e9439c0e5d,Second Grade,d60e5d238a4f3c86,149.71542853938675,97.0,99.0,99.0,94.0,63238bc9da7e59a9,6.23,99.0,99.0
2f3c64e9439c0e5d,Third Grade,39ac8f6115ee1cd3,108.0459297906867,85.0,98.0,98.0,85.0,be3cd4cd55427abf,4.99,96.0,79.0
7c1293df74c314da,Second Grade,b1d7fdee3b194316,,,,,,1356b820372f8859,0.54,4.0,10.0
6b9531251c5a748d,Second Grade,4be1ae6bbca83da6,45.5400432533112,48.0,42.0,38.0,48.0,afb13e0564e89008,2.21,38.0,46.0
6b9531251c5a748d,Kindergarten,d3153982598310cd,16.941756295402623,85.0,78.0,81.0,81.0,98a6b6d790124dc9,0.88,84.0,87.0
7c1293df74c314da,Fifth Grade,7cbe72ea794b5724,173.5748203470854,98.0,99.0,98.0,99.0,7dedf9a66483119d,7.79,99.0,82.0
7c1293df74c314da,Fifth Grade,c0b308ecfa32e0aa,132.9293438693291,81.0,96.0,93.0,92.0,5bab78904ac00119,6.08,80.0,41.0
ef60f155ba3bde30,First Grade,efc71f35fe5e1c53,5.0179344694928165,38.0,34.0,36.0,40.0,d1bb1f813ba98ca4,0.75,23.0,42.0
6b9531251c5a748d,Second Grade,a66f6a911ce0af3b,92.93471237165672,93.0,77.0,80.0,93.0,afb13e0564e89008,3.34,83.0,80.0
6b9531251c5a748d,First Grade,a41e750ba0d4cdce,11.222868951349673,4.0,20.0,31.0,5.0,315ffc8167d893f9,1.0344573790269935,33.0,37.0
ef60f155ba3bde30,Kindergarten,85b3b461471c9167,,,,,,6921ae51ab031c07,0.39,43.0,62.0
ef60f155ba3bde30,Fifth Grade,139a07a78d07df3d,68.48934747664828,12.0,18.0,17.0,24.0,832ac0d0cc66f9ba,4.16,15.0,11.0
ef60f155ba3bde30,Kindergarten,86289dfa1d055b3e,,,,,,44320ec87ebab293,0.06,19.0,63.0
aa5e6d8863ce1303,Third Grade,89ce4392e26bbda4,22.67561956729948,20.0,20.0,21.0,19.0,bd37738c2ffee93c,1.57,10.0,14.0
ef60f155ba3bde30,First Grade,93179ecceccb1288,,,,,,0bf0e71b322118d3,0.81,25.0,49.0
b3e1ba478b5c91e1,Fifth Grade,d063c0f793239651,180.248133846886,69.0,97.0,94.0,80.0,2cb7da7f89852a75,8.16,99.0,90.0
b3e1ba478b5c91e1,Fifth Grade,193cc87426d6bc88,139.10080366292874,52.0,82.0,74.0,64.0,2cb7da7f89852a75,6.32,87.0,82.0
90db4bc5f1607d38,Fifth Grade,6d968f11ad915ca9,108.3824925393602,42.0,72.0,60.0,55.0,4cd79596e78bb32a,5.53,52.0,33.0
b3e1ba478b5c91e1,Fifth Grade,88cb1c6ac49e07cd,96.0598135915541,12.0,16.0,16.0,19.0,571b2f37c31a3865,4.85,33.0,28.0
b3e1ba478b5c91e1,Second Grade,59ccf16e0d13b7a6,55.70535637536495,42.0,38.0,35.0,44.0,0a99ae227ef3a688,2.48,49.0,41.0
90db4bc5f1607d38,Second Grade,d6ed97db848fc49c,56.20849407537262,39.0,33.0,30.0,37.0,aaee4f73b4c96ddc,2.3,41.0,52.0
90db4bc5f1607d38,Second Grade,823f3b74bc382a4c,116.33945102793214,84.0,70.0,72.0,82.0,b868b636a5f3a376,3.43,85.0,73.0
90db4bc5f1607d38,Fifth Grade,56494121b36d00e3,119.73251475782884,77.0,94.0,91.0,94.0,4cd79596e78bb32a,5.69,63.0,39.0
90db4bc5f1607d38,Fourth Grade,85dfacc7b9af8e2a,106.17965597791462,33.0,36.0,38.0,37.0,298b9b41f38b0fd6,4.9,70.0,47.0
90db4bc5f1607d38,Fourth Grade,1ae36c2b7c8e14d2,149.7533268948184,92.0,97.0,98.0,89.0,298b9b41f38b0fd6,6.77,99.0,92.0
90db4bc5f1607d38,Fifth Grade,b7100c3092c5fcb7,102.038265307113,13.0,18.0,17.0,21.0,ad6c78b97362def5,5.32,45.0,4.0
90db4bc5f1607d38,First Grade,b5bc07dc9b2dd436,113.23852964851088,91.0,85.0,89.0,91.0,13333f6c1b6294b7,2.39,95.0,92.0
90db4bc5f1607d38,Second Grade,59d68c2278174ad7,42.86322265569832,49.0,41.0,37.0,48.0,b868b636a5f3a376,2.1,34.0,57.0
b4f8aa00be3c8e99,Third Grade,9e0c743c02180234,124.35978690967644,96.0,96.0,96.0,97.0,3cd3610d54c29cbe,4.73,93.0,71.0
e82a973bb85c9967,First Grade,58d93a58097176aa,104.84268751689577,91.0,81.0,86.0,90.0,1f97a06a191d4926,2.5,97.0,73.0
e82a973bb85c9967,Third Grade,232b4558bcb9848c,61.88346302309907,26.0,28.0,28.0,26.0,1120c2f62c8fb9d9,2.92,30.0,37.0
e82a973bb85c9967,Fourth Grade,d64cb38aa04f8e01,92.60991580916745,95.0,86.0,89.0,92.0,312aaf8c3f8e0e5a,4.69,60.0,40.0
e82a973bb85c9967,Second Grade,e1748950579b5e96,32.6067082461451,34.0,28.0,26.0,35.0,1b2c4c62e01ca871,1.94,29.0,32.0
0d725da70a764ecd,First Grade,f0bbcaaab2269fa8,40.42421082009047,53.0,40.0,43.0,50.0,49d0e4da87c22b98,1.77,63.0,61.0
acf2b1d2fcbe563f,Second Grade,d26bd346039aa200,101.610422387563,36.0,37.0,33.0,35.0,2f68940723bf0e1d,3.21,79.0,71.0
501b0b705ed23eb9,First Grade,4689aeaf5cc8b735,,,,,,c92c63c4c8d73f07,0.7,21.0,47.0
501b0b705ed23eb9,Fourth Grade,dfd002d362d9b420,138.61254039596304,91.0,97.0,98.0,91.0,b410eeec43792deb,6.28,98.0,87.0
501b0b705ed23eb9,Fourth Grade,99159bf6a820efd2,84.37505031909012,79.0,68.0,70.0,81.0,b410eeec43792deb,4.52,51.0,46.0
501b0b705ed23eb9,Fifth Grade,3d735239bbb232a5,147.2521063008474,60.0,92.0,88.0,69.0,b9e44e464bccac87,6.34,87.0,66.0
c08905f21b4b74c3,First Grade,7d7906049bae1cfa,,,,,,386166cfb4bcbb01,0.69,21.0,43.0
10dd705231a6172c,First Grade,1bae194e50baff9b,134.2049162497281,92.0,91.0,94.0,93.0,74b93c83473bec3e,2.16,86.0,81.0
c08905f21b4b74c3,Second Grade,34f0dd1688115856,92.13309294470164,60.0,48.0,46.0,58.0,70595b4d2589da3f,2.75,63.0,66.0
4aaf893d30c08c97,Third Grade,cdfd907dc45550e6,28.927593652984925,6.0,4.0,6.0,6.0,eb6b14073db36b67,1.29,7.0,6.0
4aaf893d30c08c97,Second Grade,e878353070b13a60,,,,,,9281057cd0792487,0.73,8.0,18.0
229e437b0c734677,Third Grade,b8825edc422863af,137.63563677898344,97.0,98.0,98.0,96.0,2d36c19237782bfe,4.73,93.0,80.0
4aaf893d30c08c97,First Grade,b036a0129cd8e87a,90.58582827525063,91.0,83.0,88.0,85.0,ef0550c83c257563,2.3,92.0,62.0
4aaf893d30c08c97,First Grade,7cab580c61530cd8,,,,,,f2b1cbe22c96ee2b,0.62,18.0,35.0
4aaf893d30c08c97,Fifth Grade,d9ee1fd70bcb0f81,94.32375008978102,13.0,20.0,20.0,24.0,2e2b8c6160b8c831,4.72,30.0,23.0
229e437b0c734677,Kindergarten,e8ddd8f9ed5df7c8,,,,,,bc7e80ed864e8e74,0.47,49.0,66.0
229e437b0c734677,Fourth Grade,96ca64f477493924,72.27126003370753,49.0,51.0,54.0,55.0,5a34a462bc3b6780,4.23,44.0,42.0
